06R0020:0002007,06R0020:0002003,06R0020:0002007
06R0037:0003714,06R0037:0003708,06R0037:0003714
06R0110:0011003,06R0110:0011007,06R0110:0011003
06R200:S00I0608,06R0001:0000104,06R200:S00I0608
06R200:S00I1006,06R0032:0003206,06R200:S00I1006
06R200:S00I1606,06R0005:0000509,06R200:S00I1606
06R200:S00I1608,06R0001:0000104,06R200:S00I1608
06R200:S00I1904,06R0075:0007501,06R200:S00I1904
06R200:S00I1917,06R0077:0007718,06R200:S00I1917
06R200:S00I2210,06R0054:0005401,06R200:S00I2210
06R200:S00I2516,06R0076:0007609,06R200:S00I2516
06R200:S00I6608,06R0009:0000904,06R200:S00I6608
06R200:S00I6810,06R0054:0005404,06R200:S00I6810
06R200:S00I7210,06R0015:0001511,06R200:S00I7210
06R200:S0I10015,06R0097:0009708,06R200:S0I10015
06R200:S0I10103,06R0032:0003208,06R200:S0I10103
06R200:S0I10113,06R0032:0003208,06R200:S0I10113
06R200:S0I10203,06R0087:0008709,06R200:S0I10203
06R300:W000I208,06R0077:0007718,06R300:W000I208
06R300:W00I0203,06R0087:0008709,06R300:W00I0203
06R300:W00I0810,06R0112:0011205,06R300:W00I0810
06R300:W00I1219,06R0076:0007611,06R300:W00I1219
06R300:W00I1314,06R0083:0008304,06R300:W00I1314
06R300:W00I1701,06R0001:0000104,06R300:W00I1701
06R300:W00I1713,06R0035:0003509,06R300:W00I1713
06R300:W00I2006,06R0003:0000302,06R300:W00I2006
06R300:W00I2016,06R0004:0000403,06R300:W00I2016
06R300:W00I2305,06R0017:0001703,06R300:W00I2305
06R300:W00I2703,06R0112:0011202,06R300:W00I2703
06R300:W00I3207,06R0054:0005401,06R300:W00I3207
06R300:W00I3501,06R0054:0005401,06R300:W00I3501
06R300:W00I3514,06R0059:0005909,06R300:W00I3514
06R300:W00I3514,06R0059:0005911,06R300:W00I3514
06R300:W00I3808,06R0024:0002404,06R300:W00I3808
06R300:W00I3811,06R0097:0009709,06R300:W00I3811
06R300:W00I4913,06R0092:0009207,06R300:W00I4913
06R300:W00I4914,06R0091:0009113,06R300:W00I4914
06R300:W00I5308,06R0009:0000904,06R300:W00I5308
06R300:W00I6003,06R0085:0008510,06R300:W00I6003
06R300:W00I6901,06R0014:0001407,06R300:W00I6901
06R300:W00I7713,06R0020:0002009,06R300:W00I7713
06R300:W00I8010,06R0022:0002210,06R300:W00I8010
06R300:W00I8202,06R0024:0002402,06R300:W00I8202
06R300:W00I8310,06R0028:0002802,06R300:W00I8310
06R300:W00I8713,06R0031:0003204,06R300:W00I8713
06R300:W00I8906,06R0033:0003308,06R300:W00I8906
