plantID,image no,rel_leaf_num,section,datetime,observer,camera,conditions,abs_leaf_num,image
17R2252:0011012,303,t-2,middle,08/02/17 10:16:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4494:0008601,304,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4441:0006706,305,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4453:0008402,306,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4534:0010403,307,e3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R2252:0011002,308,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4227:0006317,309,e4,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006913,310,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4452:0009007,311,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4227:0006310,312,e4,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4577:0009308,313,e3,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006911,314,e3,stem,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006904,315,t-2,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R2252:0011014,316,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R2252:0011020,317,t-2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4535:0010609,318,e2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4577:0009210,319,e3,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4452:0009006,320,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4452:0009005,321,t-1,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4538:0010801,322,t-3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4085:0007106,323,e3,stem,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4535:0010610,324,e2,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4577:0009303,325,e3,tip,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R4538:0010807,326,t-2,stem,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006810,327,e3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
17R3946:0006807,328,e3,middle,08/02/17 09:51:00,avi,gimmel,"ex situ ambient reflected, field",unk,
