plantID,image no,rel_leaf_num,section,datetime,observer,camera,conditions,abs_leaf_num,image
16R4468:0004410,281,e2,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4468:0004411,278,e2,tip,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4473:0004903,264,e3,middle,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4477:0005305,268,e3,middle,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4477:0005309,265,e3,stem,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4477:0005311,266,e4,middle,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4478:0005404,269,t-11,tip,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4483:0005906,279,e-4,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4228:0006811,287,e0,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4491:0008006,275,e0,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4496:0009201,277,e-2,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4498:0009503,267,e-2,middle,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4498:0009505,282,e-1,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4498:0009508,273,e-1,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4499:0009605,274,e0,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4499:0009607,276,e0,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4499:0009614,288,e-1,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4279:0010511,283,e2,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4515:0011901,271,e-1,middle,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4515:0011904,285,e-1,middle,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4535:0014401,286,t-1,whole,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4535:0014404,270,t-1,whole,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R4535:0014412,263,t-1,middle,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6940:0015404,272,e-2,middle,07/30/2016 14:27:35,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6940:0015406,284,e-2,tip,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6980:0015801,280,e-1,stem,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
16R6980:0015811,280,e-1,stem,07/30/2016 15:30:44,avi,gimmel,"ex situ ambient reflected, field",unk,
